Word,BSL Rank,SFI,U
mister,1,71.51,1416.4
goods,2,66.71,468.5
equity,3,66.15,411.67
dividend,4,65.15,327.16
portfolio,5,64.97,314.17
sponsorship,6,62.37,172.54
inventory,7,63.62,230.19
transaction,8,64.52,283.43
non,9,64.38,273.88
lease,10,63.06,202.09
hedge,11,62.32,170.71
distribution,12,63.3,213.91
premium,13,62.93,196.21
client,14,63.27,212.36
impact,15,63.3,213.6
authority,16,63.37,217.48
obtain,17,62.67,184.93
maturity,18,61.63,145.44
publish,19,62.63,183.07
sometime,20,62.08,161.3
economist,21,61.59,144.2
media,22,61.78,150.64
marginal,23,60.97,124.98
seller,24,61.28,134.26
candidate,25,60.86,121.89
merger,26,61.37,137.16
audit,27,61.09,128.4
e-book,28,60.51,112.43
consumption,29,60.96,124.67
variance,30,59.49,88.89
depreciation,31,59.88,97.18
strategic,32,60.71,117.86
anti,33,59.89,97.41
recession,34,60.73,118.2
entity,35,59.9,97.74
utility,36,60.39,109.43
productivity,37,60.63,115.54
euro,38,59.75,94.31
overhead,39,58.95,78.52
organizational,40,59.84,96.33
commodity,41,60.23,105.4
monetary,42,60.42,110.17
aggregate,43,59.8,95.61
valuation,44,59.81,95.75
fiscal,45,60.13,103
payable,46,59.29,84.9
default,47,59.8,95.61
aspect,48,59.91,97.84
calculation,49,59.62,91.62
subsidiary,50,59.87,97.02
mid,51,59.86,96.85
allocation,52,59.23,83.75
rose,53,59.45,88.08
coupon,54,58.95,78.52
volatility,55,58.81,76.01
retailer,56,59.85,96.67
deviation,57,58.64,73.1
receivable,58,58.03,63.59
equilibrium,59,59.13,81.8
pre,60,59.7,93.43
creditor,61,59.52,89.57
derivative,62,59.09,81.08
sub,63,58.37,68.7
incur,64,59.04,80.19
surplus,65,59.5,89.2
annuity,66,57.44,55.41
disclosure,67,58.9,77.68
regime,68,58.53,71.26
risky,70,58.86,76.89
leverage,71,58.37,68.65
website,72,57.74,59.44
broker,73,58.84,76.61
outstanding,74,58.71,74.24
internet,75,57.99,63
parliament,76,56.92,49.22
coalition,77,57.15,51.87
maximize,78,58.36,68.48
beta,79,57.72,59.21
lender,80,58.7,74.08
gross,81,58.51,70.91
liquidity,82,58.68,73.77
stockholder,83,56.64,46.17
vendor,84,58.46,70.12
fraud,85,58.67,73.59
allocate,86,58.37,68.7
regulator,87,58.01,63.3
conference,88,58.4,69.16
par,89,57.74,59.38
swap,90,58.18,65.83
bankruptcy,91,58.49,70.69
provider,92,57.76,59.7
regression,93,57.04,50.54
turnover,94,58.29,67.41
criteria,95,58.21,66.18
accountant,96,58.1,64.59
constitution,97,56.67,46.43
trader,98,58.21,66.24
monopoly,99,58.34,68.23
correlation,100,57.41,55.1
stockmarket,101,56.21,41.79
ex,102,58.42,69.43
profitable,103,58.38,68.94
breach,104,58.08,64.23
subsidy,105,57.99,62.96
auditor,106,58.09,64.42
banker,107,58.15,65.3
corruption,108,56.35,43.19
issuer,109,57.16,51.98
borrower,110,58.19,65.96
insurer,111,57.69,58.71
patent,112,57.95,62.33
profitability,113,57.69,58.74
debit,114,56.83,48.2
duration,115,57.11,51.37
scenario,116,57.35,54.35
terrorism,117,55.68,37.01
respondent,118,57.37,54.63
regulatory,119,57.8,60.28
takeover,120,57.65,58.19
coefficient,121,56.84,48.27
indicator,122,57.28,53.51
classify,123,57.34,54.17
receipt,124,57.44,55.44
optimal,125,56.92,49.25
nominal,126,57.43,55.37
infrastructure,127,57.49,56.11
disclose,128,57.56,57.02
offset,129,57.51,56.41
effectiveness,130,57.2,52.49
