Word - The base word plus all the inflected forms for all parts of speech.,,,
FEL Rank - The rank based on frequency in sorted in descending order. Words with the same frequency are given the same rank.,,,
SFI - Standard Frequency Index (Carroll, 1971) A lognormal transformation of poportional frequency,,
U - Estimated frequency per million words,,,
,,,
Word,FEL Rank,SFI,U
exhale,1,75.46,3516.82
inhale,2,74.82,3033.12
hip,3,74.03,2527.27
toe,4,71.63,1456.55
mat,5,71.47,1403.08
yoga,6,71.13,1296.24
workout,7,70.81,1205.27
elbow,8,70.81,1204.86
repetition / reps,9,70.44,1106.68
heel,10,69.88,971.82
squat,11,69.67,927.93
thigh,12,69.42,875.29
palm,13,69.09,811.62
squeeze,14,68.94,783.91
fingertip,15,68.48,704.89
spine,16,68.28,672.33
lunge,17,68.11,647.5
abdominal / abs,18,68.05,638.23
plank,19,67.45,556.33
dumbbell,20,67.1,513.47
curl,21,67.05,506.88
belly,22,66.79,478.13
awesome,23,66.24,421.16
downward,24,66.2,416.83
ankle,25,66.19,415.91
lengthen,26,66.16,412.82
chin,27,66.15,411.99
carbohydrate / carbs,28,66.02,400.14
underneath,29,65.87,386.85
hamstring,30,65.62,364.7
wrist,31,65.48,353.06
halfway,32,65.37,344.1
crunch,33,65.27,336.48
torso,34,65.22,332.77
bench,35,65.05,319.79
lung,36,65.03,318.34
super,37,64.99,315.36
tricep,38,64.98,314.63
fitness,39,64.74,297.64
posture,40,64.72,296.3
bicep,41,64.65,291.45
warrior,42,64.63,290.22
gluteus / glutes,43,64.62,290.01
cardiovascular / cardio,44,64.61,288.98
tuck,45,64.52,283.11
tailbone,46,64.46,279.5
thumb,47,64.42,276.52
calf,48,64.22,264.36
navel,49,64.19,262.71
gym,50,64.19,262.2
acid,51,64.15,259.83
flex,52,64.09,256.32
intake,53,64.07,255.09
rotate,54,64.02,252.1
hey,55,63.98,250.04
grip,56,63.91,246.02
blade,57,63.76,237.68
calorie,58,63.68,233.55
overhead,59,63.66,232.32
arch,60,63.57,227.68
width,61,63.54,225.83
straighten,62,63.45,221.5
nutrition,63,63.38,217.9
alternate,64,63.35,216.35
ceiling,65,63.34,216.04
hug,66,63.34,215.73
crown,67,63.22,210.07
hop,68,63.21,209.45
soften,69,63.15,206.36
butt,70,63.14,205.94
vitamin,71,63.13,205.74
jack,72,62.82,191.42
forearm,73,62.81,190.9
intensity,74,62.69,185.85
barbell,75,62.64,183.49
pulse,76,62.57,180.7
meditation,77,62.49,177.51
shin,78,62.37,172.56
namaste,79,62.24,167.52
deadlift,80,62.24,167.41
stack,81,62.18,165.35
quad,82,62.18,165.25
client,83,62.14,163.6
obliques,84,62.1,162.37
chakra,85,61.83,152.48
upward,86,61.78,150.83
rib,87,61.76,149.9
fluid,88,61.75,149.49
sole,89,61.65,146.09
lateral,90,61.62,145.16
amino,91,61.59,144.34
outer,92,61.5,141.35
rotation,93,61.47,140.32
pelvis,94,61.46,139.91
cobra,95,61.4,138.15
chaturanga,96,61.4,138.05
interlace,97,61.28,134.24
dip,98,61.24,133
bow,99,61.05,127.23
forehead,100,60.93,123.94
