id,word_id,word,language,definition,read_aloud
0199d456-c4de-701f-9694-22ec3959114a,01992796-98e8-70e2-43aa-8ab3e253f7db,hello,ko,안녕 / 안녕하세요 (상대방에게 인사할 때 쓰는 표현),안녕. 안녕하세요.
0199d456-c5d6-7032-a8b3-8582fb63fecd,0199277f-0570-7053-1369-d3e4fb3c3a6e,my,ko,나의 / 내 것 (소유를 나타내는 말),나의. 내 것.
0199d456-c6e1-70e6-c629-7df450b69def,01992796-1aad-70e8-045d-c3ba5a94d56f,name,ko,이름,이름.
0199d456-c7fc-703d-932a-1902bdac26ba,01992796-1ba3-703c-6544-28fb6e37c845,nice,ko,좋은 / 멋진 / 친절한,좋은. 멋진. 친절한.
0199d456-c933-702c-0bb3-5db98571a6eb,01992796-1661-70b9-1950-497d95727d1a,meet,ko,만나다,만나다.
0199d456-ca34-706a-4931-18e637603b09,01992796-4371-7070-cba9-eda67a6db541,your,ko,너의 / 당신의,너의. 당신의.
0199d456-cb15-70e2-21ff-97f8147c2f79,0199277f-0148-704c-92f6-1792942f316a,hi,ko,안녕 (가볍게 인사하는 표현),안녕.
0199d456-cbf5-7025-dbda-aedb3ea58090,0199277f-4905-7021-b833-d8a09715a3f3,how,ko,어떻게 / 얼마나,어떻게. 얼마나.
0199d456-ccd4-7099-eede-8c2208c1af29,01992780-9d3a-7046-332f-50052bc55c7d,fine,ko,좋은 / 괜찮은,좋은. 괜찮은.
0199d456-cdb6-7036-964b-b6ae42448efa,01992796-ab48-7045-e29c-6834cb5c6afe,later,ko,나중에 / 이후에,나중에. 이후에.
0199d456-ce81-7011-30bf-2a956d61a0fc,01992799-2a4b-7015-3ffb-2cec16ad2098,goodbye,ko,안녕히 가세요 / 안녕히 계세요 (작별 인사),안녕히 가세요. 안녕히 계세요.
0199d456-cfa0-70cd-72d7-dbc33ff1fb14,01992796-40b8-7037-17ce-c0577236ba02,what,ko,무엇,무엇.
0199d456-d0f7-7042-9833-3570928afb4d,01992796-3876-70b0-1660-9df2e49e6933,this,ko,이것,이것.
0199d456-d1d7-70ba-4d56-c5d8eb0d8160,01992796-3842-70ad-549c-11815421aaee,that,ko,저것 / 그것,저것. 그것.
0199d456-d2d7-7071-bd60-a827cd8d5a1b,01992797-f178-7017-8861-506b2785252a,pencil,ko,연필,연필.
0199d456-d3cd-70b0-a21a-9ec70adc315f,0199277f-2d15-7047-d246-e6aeb68471aa,dog,ko,개,개.
0199d456-d505-7006-5081-946333d89e8e,0199277f-5bc8-70c4-ad14-60a4147a264f,lot,ko,많음 / 다수,많음. 다수.
0199d456-d644-70d3-b305-00f4c2f16d4f,01992796-1539-7027-0abe-9ac50ef8af84,many,ko,많은 (셀 수 있는 명사와 함께 사용),많은.
0199d456-d713-701a-1829-8727317de2f2,01992780-a184-704f-c2dd-0ca61a9187f0,five,ko,숫자 5,숫자 오.
0199d456-d838-704d-7872-d0bc3e02508b,0199277f-224d-7080-8828-3078ca8b5a1f,cat,ko,고양이,고양이.
0199d456-d976-70b4-e352-f4cc2245f4f5,01992796-65ab-70f9-e795-38570d3d0b7f,color,ko,색 / 색깔,색. 색깔.
0199d456-da90-7021-dce9-f81fb3218e63,01992796-5516-7031-903d-84dbbc1a5040,black,ko,검은색,검은색.
0199d456-db8a-70ac-1e94-87e8f614824e,01992796-ccc9-7078-08c3-b43f1ed8e0da,pizza,ko,피자,피자.
