 tradition	전통,전설
  patriotism	애국심
  religious	종교
  conscience	양심
  intellect	지성
  culture	문화,교양
  civilization	문명
  prejudice	편견, 선입관
  instinct	본능
  privilege	특권
  impulse	충동
  virtue	미덕, 장점
  vice	악덕
  revolution	혁명
  stimulus	자극
  ambition	대망, 야심
  vanity	허영심
  envy	시기, 부러움
  jealousy	질투
  fatigue	피로
  passion	정열
  famine	기근
  calamity	재난, 불행
  individual	개인
  emotion	감정, 정서
  evolution	진화, 발전
  hypocrisy	위선
  character	특징, 인격
  method	방법
  psychology	심리학
  chivalry	기사도
  literature	문학
  responsibility	책임
  system	조직, 체계
  challenge	도전
  monotony	단조로움
  disgrace	불명예,치욕
  luxury	사치, 사치품
  anachronism	시대착오
  conquest	정복
  siege	포위공격
  insight	통찰력
  panic	공황
  universe	우주, 전세계
  criticism	비평, 비판
  influence	영향, 영향력
  resistance	저항
  convenience	편리
  hardship	고난
  existence	존재, 생존
  fortitude	인내, 용기
  compromise	타협, 타협하다
  prosperity	번영
  comfort	위안, 안락
  sacrifice	희생, 희생하다
  superstition	미신
  sympathy	동정, 공감
  perseverance	인내
  disgust	혐오
  monopoly	독점
  species	인류, 종류
  moisture	습기
  solitude	고독
  candidate	지원자, 후보자
  environment	환경
  destiny	운명
  hindrance	방해
  property	재산, 소유권
  increase	증가
  decrease	감소
  courtesy	예절
  theory	이론
  medium	매개, 중간에
  principle	원리, 주의
  shortcoming	결정
  crisis	위기
  policy	정책, 방침
  affection	애정
  homage	경애
  conceit	자부심
  hostility	적의, 적개심
  frustration	좌절, 욕구불만
  victory	승리
  triumph	승리
  hatred	증오
  purpose	목적
  fantasy	공상, 환상
  struggle	분투노력하다
  access	접근
  contempt	경멸
  convention	회의
  harmony	조화
  scorn	경멸
  comment	주석, 논평
  dignity	위엄
  mercy	자비
  cowardice	겁, 비겁
  logic	논리학
  eloquence	웅변
  pastime	오락, 기분전환
  talent	재능
  misery	비창
  modesty	겸손
  circumstance	환경, 사정
  quality	질
  quantity	양
  commerce	상업
  conception	개념
  identity	신원, 정책
  legend	전설
  trick	계략, 장난
  wealth	부, 재산
  charity	자비, 자선
  fate	운명
  evidence	증거
  tension	긴장
  impression	인상, 감명
  elegy	애가, 슬픈노래
  strain	긴장, 압박
  bribe	뇌물을 주다
  fame	명성
  soul	영혼, 사랑
  gratitude	감상
  sin	죄
  crime	범죄
  strategy	전략, 전술
  heritage	유산
  strife	투쟁
  pollution	오염
  industry	산업
  defect	결점, 단점
  sincerity	성실
  piety	경건,신앙심
  adolescence	청년기
  phenomenon	현상
  account	계산, 설명
  emphasis	강조
  proportion	비례, 비율
  rumor	소문
  faculty	능력
  worship	숭배
  doctrine	학설
  pity	연민, 유감
  commodity	상품, 일용품
  distress	고통, 괴롭히다
  discourse	이야기하다
  function	기능, 역할
  fallacy	오류
  violence	폭력, 맹렬
  appetite	식욕, 욕구
  revival	부활
  foundation	기초
  behavior	행위, 태도
  discipline	훈련, 규율
  poverty	빈곤
  threat	협박, 위협
  menace	협박하다
  plague	전염병
  capacity	능력, 수용력
  attitude	태도
  merit	장점, 공적
  astronomy	천문학
  despair	절망
  patience	인내
  confidence	신용, 자신
  enthusiasm	열광
  peril	위험
  livelihood	생계, 살림
  opportunity	기회
  ridicule	조롱, 조소
  liberty	자유
  spirit	정신, 원기
  traffic	교통, 교통에
  remedy	구제책, 요법
  symptom	징후
  tyranny	전제정치, 포악
  prospect	기대, 전망
  credit	신용, 명예
  profit	이익, 이익을보다
  oblivion	망각
  constitution	헌법, 체격
  extent	범위, 정도
  efficiency	능률, 효력
  genius	천재
  nightmare	악몽
  benefit	이익, 은혜
  reign	통치, 군림하다
  ruin	파멸
  factor	요인, 요소
  vocation	직업
  contrast	계약, 계약하다
  welfare	복지
  community	사회
  faith	신앙, 신용
  propaganda	선전
  thrift	절약, 검약
  melancholy	우울, 우울한
  temper	기질, 노여움
  finance	재정
  significance	의의, 중요성
  suffrage	참정권, 투표
  rage	격노, 격노하다
  thirst	목마름, 갈망
  infancy	유년시대, 초기
  adoration	숭배, 동경
  insult	모욕
  epidemic	유행병, 전염병
  analogy	유사, 유추
  ethics	윤리학
  analysis	분석, 분해
  labor	노동, 노력
  indignation	분개, 분노
  substance	실질, 실체
  slang	속어
  chaos	혼돈, 무질서
  vigor	활력, 원기
  heaven	하늘, 천국
  hell	지옥
  shame	수치, 치욕
  dialect	방언, 사투리
  barrier	장애물
  barometer	기압계, 지표
  glory	영광
  generosity	관대함, 너그러움
  technology	과학기술
  basis	기초
  biography	전기
  gravity	중력, 중대성
  treaty	조약
  advantage	유리, 이점
  vacuum	진공, 진공의
  economy	경제, 절약
  bravery	용기
  epoch	신기원, 신시대
  courage	용기
  sphere	구, 범위
  achievement	성취, 업적
  biology	생물학
  recreation	기분전환, 오락
  gravitation	중력, 인력
  fury	격분
  behalf	위함, 이익
  generalization	일반화, 보편화
  damage	손해, 손상
  horizon	지평선, 수평선
  degree	정도, 학위
  folly	어리석음
  heredity	유전
  describe	묘사하다
  declare	선언하다
  approve	시인하다
  recommend	추천하다
  reconcile	화해시키다
  contribute	공언하다
  distribute	분배하다
  extinguish	끄다
  survive	살아남다
  contrast	대조
  invade	침입하다
  upset	뒤엎다
  accomplish	성취하다
  violate	위반하다
  stride	성큼성큼걷다
  forbear	참고견디다
  calculate	계산하다
  blame	비난하다
  plow	갈다
  grasp	파악하다
  stumble	비틀거리다
  require	필요로하다
  cancel	취소하다
  deceive	속이다
  combine	결합하다
  relate	관련시키다
  arrest	체포하다
  embody	구체화하다
  select	고르다, 선발한
  persist	고집하다
  tremble	떨다, 떨리다
  isolate	격리시키다
  desert	사막, 버리다
  establish	설립하다
  vary	변화하다
  investigate	조사하다
  vanish	사라지다
  lament	한탄하다
  stretch	잡아늘이다
  starve	굶주리다
  generate	낳다, 발생하다
  reform	계약하다
  possess	소유하다
  devote	받치다
  tend	~경향이있다
  pursue	추구하다
  attach	붙이다
  perish	멸망하다
  dispose	처리하다
  quit	떠나다
  secure	획득하다
  reveal	나타내다
  persuade	설득하다
  gaze	응시하다
  restore	회복시키다
  heal	고치다
  acquire	얻다
  halt	서다, 정지
  maintain	유지하다
  mourn	슬퍼하다
  suspect	의심하다
  grumble	불평하다
  entertain	즐겁게하다
  utilize	이용하다
  convert	바꾸다
  despise	경멸하다
  commence	시작하다
  consume	소비하다
  assimilate	동화하다
  impose	부과하다
  encounter	만나다
  release	면제하다
  specialize	전공하다
  respond	응답하다
  soar	치솟다
  comprehend	이해하다
  detect	발견하다
  qualify	자격을주다
  decorate	장식하다
  accelerate	촉진하다
  betray	배반하다
  dominate	통치하다
  preserve	보존하다
  entreat	간청하다
  lack	부족하다
  interrupt	방해하다
  surpass	~뛰어나다
  render	~되게하다
  export	수출하다
  fulfil	이행하다
  inspect	검사하다
  indulge	탐닉하다
  prevail	유리하다
  adjust	적응시키다
  estimate	어림잡다
  compensate	배상하다
  restrain	억제하다
  appreciate	감상하다
  insist	주장하다
  acknowledge	인정하다
  distinguish	구별하다
  involve	포함하다
  intrude	침입하다
  torment	고문하다
  exhaust	다써버리다
  endure	견디다
  hesitate	주저하다
  substitute	대용하다
  prohibit	금지하다
  forbid	금하다
  display	보이다
  concentrate	집중하다
  yearn	그리워하다
  forsake	버리다
  endeavor	노력
  soothe	위로하다
  congratulate	축하하다
  confuse	혼란시키다
  improve	진보하다
  diffuse	퍼지게하다
  alter	바꾸다
  speculate	사색하다
  recover	회복하다
  urge	역설하다
  command	명령하다
  warn	경고하다
  transport	수송하다
  ignore	무시하다
  conceal	감추다
  utter	완전한
  flatter	아첨하다
  absorb	흡수하다
  yield	산출하다
  meditate	숙고하다
  perform	수행하다
  embarrass	난처하게하다
  reproach	비난하다
  bewilder	당황하게하다
  overcome	이겨내다
  assert	주장하다
  recognize	인정하다
  admit	들어오게하다
  persecute	학대하다
  launch	내보내다
  pretend	가장하다
