culture	문화,교양
experience	경험
education	교육
symbol	상징
effect	결과,영향,효과
liberty	자유
affair	사건, 일
comfort	안락, 위안
tradition	전통
subject	주어, 주제
object	사물,목적,반대하다
source	출처, 근원
revolution	혁명, 회전
pollution	오염
system	조직, 체계
triumph	승리
respect	존경하다
communication	통신, 의사소통
foundation	기초
glory	영광
situation	위치, 상황
competition	경쟁
prairie	대초원
effort	노력
section	부분, 구역
rein	고삐
solution	해결, 용해
honor	명예, 경의
unity	통일, 일치
population	인구
direction	방향, 지시
dialogue	대화
republic	공화국
method	방법
increase	증가하다
decrease	감소하다
amount	양, 총계
ancestor	조상
voyage	항해
sculpture	조각품
instrument	기구, 도구
figure	인물, 모양, 숫자
activity	활동
cause	원인, 이유
worth	가치, 가치가 있는
accident	사고, 뜻밖의 사건
adventure	모험
view	경치, 의견
relative	친척, 관계가 있는
superstition	미신
habit	습관, 버릇
wealth	재산, 부
treasure	보물
universe	우주, 전세계
adult	성인
feast	잔치, 향연
resources	자원
ruin	파멸
monument	기념비
information	정보, 통지
appetite	식욕
stethoscope	청진기
mystery	신비, 불가사리
thermometer	온도계
burden	짐, 부담
series	연속, 시리즈
oath	맹세, 선서
appointment	약속, 지정, 임명
clue	실마리, 단서
debt	빚
hydrogen	수소
control	통제하다, 지배하다
uniform	제복, 한 모양의
design	계획, 설계, 디지인
damage	손해, 손상
custom	관습
traffic	교통
sophomore	2학년생
temperature	온도
limit	제한, 제한하다
statue	조각상
furniture	가구
parade	행렬
public	공공의, 공중의
pilgrim	순례자
greeting	인사
language	언어
opinion	의견
athlete	운동선수
supply	공급, 공급하다
surface	표면
electricity	전기
order	순서, 명령
spirit	정신, 영혼
purpose	목적
promise	약속, 전망
project	계획, 투영하다
government	정부
exercise	운동, 연습
comparison	비교
interest	이익, 흥미, 이자
funeral	장례식
senior	선배, 손위의
junior	후배, 손아래의
democracy	민주주의
general	일반적인, 장군
admiral	해군대장
edge	가장자리
biology	생물학
danger	위험
advice	충고
practice	연습, 관습, 실행
mammal	포유동물
grade	학년, 등급
score	점수, 20
pause	중지, 멈추다
pronunciation	발음
stress	압박, 강조하다
contest	경쟁
horizon	수평선
principal	중요한, 교장
might	힘
trouble	고생, 걱정하다
scar	상처
balance	균형
proverb	속담
semester	학기
election	선거
hollow	속이 빈, 움푹 꺼진
degree	정도, 도, 학위
cemetery	묘지
relay	교대자, 교대하다
spot	지점
exchange	교환하다
merchant	상인
saying	격언
refrigerator	냉장고
crack	갈라진 틈
judge	재판관, 판단하다
slave	노예
settler	정착자
fare	교통요금
gesture	몸짓
planet	행성
type	유형
secretary	비서
devil	악마
scholar	학자
pardon	용서
kindergarten	유치원
detective	탐정, 형사
license	면허
palace	궁전
spade	삽
square	정사각형, 광장
fountain-pen	만년필
harvest	수확
tool	도구
sword	칼
magazine	잡지
stadium	경기장
care	걱정
beauty	아름다움
museum	박물관
sentence	문장, 판결
memory	기억
delight	기쁨
passenger	승객
skill	기술, 숙련
journey	여행
ceremony	의식
hobby	취미
president	대통령, 장
address	주소, 연설
continent	대륙
mankind	인류
patient	환자, 참을성 있는
site	위치, 장소
marble	대리석
stem	줄기, 유래하다
slip	미끄러짐
torch	햇불
composer	작곡가
invader	침입자
trick	계략
flight	비행
castle	성
envelope	봉투
pal	친구
vacation	휴가
desert	사막, 버리다
event	사건
theater	극장
stage	무대, 단계
error	잘못
area	지역
base	기초, 기초를 두다
basement	지하실
evil	악, 나쁜
atom	원자
poet	시인
petal	꽃잎
chance	기회, 가능성
mind	마음, 꺼리다
climate	기후
suburb	교외
throat	목구멍
voice	목소리
valley	골짜기, 계곡
puritan	청교도
feather	깃털
amateur	아마추어
nation	국가
puzzle	퍼즐, 당혹하게 하다
riddle	수수께끼
rear	뒤쪽, 기르다
battle	전투, 싸움
laundry	세탁소, 세탁물
shower	소나기, 샤워
navy	해군
mars	화성
gallery	화랑
guest	손님
folk	사람들
problem	문제
jewel	보석
garage	차고
fault	결점, 잘못
lantern	랜턴
import	수입하다
angle	각도
match	시합, ~에 필적하다
stripe	줄무늬
pulse	맥박
powder	가루, 화약
flood	홍수
bush	수풀, 덤불
branch	나뭇가지, 지점
hero	영웅, 주인공
heaven	하늘
exit	출구
beast	짐승
century	세기, 100년
coeducation	남녀공학
twin	쌍둥이의 한 사람
wound	상처, 부상
metal	금속
insect	곤충
track	지나간 자국, 선로
deserve	받을가치가있다, ~할 만하다
survive	살아남다
create	창조하다
describe	묘사하다
select	고르다, 선택하다
hesitate	주저하다, 망설이다
declare	선언하다
pretend	~인 체하다
struggle	노력, 분투하다
explore	탐험하다
astonish	놀라게하다
disappoint	실망시키다
attract	마음을 끌다
celebrate	축하하다
explode	폭발시키다
include	포함하다
protect	보호하다
introduce	소개하다, 도입하다
produce	생산하다
chase	쫓다, 추적
scratch	할퀴다, 긁다
crash	충돌[추락]
stare	응시하다
gaze	응시하다
scare	겁주다, 위협하다
grab	움켜잡다
guard	지키다, 경계
discuss	토론하다
shrug	어깨를 으쓱하다
sniff	냄새맡다
scream	비명지르다
rid	제거하다
surround	둘러싸다
cleave	쪼개다
carve	새기다, 조각하다
except	제외하다
invent	발명하다
search	찾다
abuse	남용하다, 학대하다
owe	신세지다, 빚지다
bless	축복하다
graduate	졸업하다
replace	~을 대신하다, 제자리에 놓다
collect	모으다, 수집하다
upset	뒤업다, 당황케하다
arrest	체포하다
prove	증명하다
yell	외치다
howl	짖다, 울부짖다
halt	정지하다
leak	새다
behave	행동하다
wrap	싸다
locate	위치하다
charge	짐을 싣다, 청구하다, 책임
review	복습하다
refuse	거절하다
complain	불평하다
remain	남다
warn	경고하다
bend	구부리다
suffer	고통을 겪다
whisper	속삭이다
prepare	준비하다
roar	으르렁거리다
float	뜨다
drag	끌다
overhear	엿듣다
slide	미끄러지다
suck	빨다
bother	괴롭히다
deal	다루다, 분배하다
treat	다루다, 대접하다
destroy	파괴하다
accept	받아들이다
depend	~에 의존하다
nod	끄덕이다
remove	제거하다, 옮기다
beat	때리다
clap	탁 치다, 손뼉치다
feed	먹이다
obtain	얻다
drown	물에 빠뜨리다
remind	생각나게 하다
occur	발생하다
ache	아프다
repeat	반복하다
attend	참석하다, 돌보다
sigh	한숨쉬다
pray	기도하다
press	누르다
bear	낳다, 참다
follow	따르다
hate	미워하다
frighten	두렵게하다
shout	외치다
mention	말하다
waste	낭비하다
borrow	빌리다
complete	완성하다
excellent	뛰어난
competent	유능한
religious	종교적인
favorite	아주 좋아하는
entire	전체의
primary	제1의, 주요한
similar	비슷한
precious	귀중한
normal	보통의
popular	인기있는
compulsory	의무적인
curious	호기심이 강한
independent	독립의
intimate	친밀한
delicious	맛있는
valuable	귀중한
grave	무덤, 중대한
elementary	초보의, 초등학교의
crazy	미친
contrary	반대의
regular	규칙적인, 보통의
social	사회의
straight	똑바른
noble	고귀한
anxious	걱정하는, 열망하는
international	국제적인
greedy	탐욕스러운
stupid	어리석은
silly	어리석은
lonely	고독한
dirty	더러운
various	여러가지의
private	개인의
vain	헛된
sore	아픈
fierce	사나운, 맹렬한
firm	굳은, 회사
solar	태양의
smart	똑똑한
single	단 하나의, 독신의
diligent	부지런한
serious	진지한
fresh	새로운, 신선한
empty	빈
mild	온화한
amazing	놀라운
charming	매력적인
boring	지겨운
giant	거대한
huge	거대한
tiny	몹시 작은
fair	공평한, 박람회
tough	거친, 질긴
foreign	외국의
modern	현대의
expensive	값비싼
harmful	해로운
calm	고요한
